id_business,review,date,#_stars,predicted_sentiment,prediction_probability
0,Nous avons passé une agréable soirée en amoureux. Le chef m'a préparé un menu végétarien délicieux. Les serveurs sont tous charmants et disponible.,20/02/2017,5,POSITIVE,0.8599954240446386
0,"Semi gastro plutôt tendance. J'ai pris une pièce de boeuf avec des légumes, la viande était bonne et bien cuite, la sauce originale. Par contre la quantité de l'accompagnement n'était pas du tout suffisante, quatre petits bouts de légumes tristounets dans l'assiette.... En dessert un fondant au chocolat très bon et pas trop sucré.  La terrasse chauffée est agréable. Les prix ont augmenté depuis les derniers commentaires ! 44euros le menu entrée plat dessert. Nous en avons eu pour 80e plat dessert verre de vin café pour 2. Pas donné...",30/06/2016,3,NEGATIVE,0.736105432001606
0,"Un resto que je conseille à mes amis, car ambiance sympathique, très bonne accueille et les plats une pure merveille !! Par contre pensez à réserver ! Menu du soir 37€ avec deux choix entrée, plat, dessert",31/08/2013,5,POSITIVE,0.8783459874798174
0,"Un restaurant qui veut jouer les grands , mais très déçu des plats. Une cuisine grossière , bref rien de bien alléchant .",09/05/2013,3,NEGATIVE,0.9745600239370283
0,"L'humeur du Chef ... Oui, mais, et l'humeur du client ? Restaurant avec une déco classique, les tables sont assez proches les unes des autres mais l'atmosphère feutrée permet de ne pas être trop incommodé par la présence proche des voisins. La musique ""lounge"" évoque d'avantage une musique d'ascenseur mais c'est une affaire de goût. L'accueil a été chaleureux, nous sommes arrivés un peu en avance par rapport à notre réservation et il n'y a pas eu de souci. Au menu (""L'humeur du Chef""), pour 40 Euros par personne : - foie gras ou noix de saint jacques avec ses légumes, - croquettes de boeuf ou filet de turbot, - sabayon de fruits rouges au champagne. Les saveurs et la présentation des plats étaient plus que correctes mais un énorme bémol (ou plutôt une avalanche de fausses notes ...) a gâché notre soirée : - les portions étaient minuscules. En entrée, l'on m'a servi une tranche de foie gras, sans salade, ni crudité. Pour le plat, nous avons dégusté trois cubes de viande avec une pomme de terre émincée , le dessert était tout aussi ""light"" en quantité. - le service n'était pas à la hauteur : pas de passage au cours du repas (nous n'avons pas eu de carafe d'eau lorsque nous en avons fait la demande, pas de pain lorsque nous avons fini la corbeille). D'autre part, aucun serveur ne nous a reproposé du vin, ni demandé si nous appréciions le repas que se soit au cours du service ou lors de l'addition. Un serveur a fait une erreur dans les desserts : il a servi la table voisine avant d'échanger les assiettes avec nous, 5 minutes plus tard. Au final, pour deux personnes, nous avons payé 87 Euros avec 2 menus, un perrier et un verre de vin rouge. Nous sommes très déçus du service et sommes rentrés chez nous en ayant encore faim.",01/05/2013,1,NEGATIVE,0.9370674808293253
0,"Agréable moment Une cuisine goûteuse et originale, formule de ce midi parfaite, belle harmonie, un cadre charmant, un personnel aimable et discret. Belle adresse !",29/01/2013,4,POSITIVE,0.9262462202741754
0,"Déçue par le rapport quantité prix ! Déçue par le rapport quantité prix : la tajine était bonne mais l'assiette peu remplie (manque de semoule nous en avons d'ailleurs fait la remarque au serveur), le dessert correct mais peu original. Bref je m'attendais à mieux au vu des échos, peut-être étais-ce un mauvais jour... ? Dommage pour nous.",11/12/2012,3,NEGATIVE,0.9613995039096017
0,"Un chef cuisinant un menu le soir ""selon son humeur"". Elle devait être fort bonne, car tout était delicieux!  39 euros entrée, plat, dessert...Un régal.",22/07/2012,5,POSITIVE,0.7017678973450221
0,tres bon restaurant. attention le prix a la carte fait vite monter la note! compter 100euros pour un couple avec coupe et demi bouteille de vin. sinon cadre et service agreable,14/08/2011,3,POSITIVE,0.8213315116787093
0,Produits nobles et travaillés avec un savoir faire éxélent !,12/10/2010,5,POSITIVE,0.9170151843395696
